P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
6,9,0,6.646135595088655,54242.133331717836,44.17111834830442,3.8572999849615583,0.014555662070685869,0.9948165654667005,-4683.751365410036,-4765.5616391493495
6,9,1,6.628125334814694,53948.55181752723,43.93204545401239,3.8541945878751096,0.014541181897013566,0.9948446204207652,-4679.0868548043245,-4766.010270652345
6,9,2,6.690263255327793,54964.8163386236,44.75962242558923,3.8917080439451692,0.014679429293037472,0.9947475051288315,-4704.0043179919485,-4796.040875948676
6,10,0,6.636613244819804,54086.81222369807,44.04463536131764,3.8690102337902603,0.01459082092441721,0.9948314081129167,-4686.229971375012,-4783.379671440446
6,10,1,6.721817354263084,55484.513452120875,45.182828544072365,3.9220753695947557,0.014803257596181174,0.9946978423335191,-4701.56061745415,-4757.805180649928
6,10,2,6.673201507447177,54684.827344846206,44.53161835899535,3.8880341053355494,0.014659420832022844,0.9947742611675443,-4685.732939078256,-4747.090644382741
7,1,0,6.639875929329474,54140.00549425962,44.08795235688895,3.851790755167412,0.014543178996145592,0.9948263249087979,-4675.437090698796,-4741.907938111988
7,1,1,6.504418835570213,51953.566269103256,42.307464388520536,3.839579980710964,0.014491951036416187,0.9950352633094195,-4626.815219224016,-4698.3992087459155
7,1,2,6.634330014179331,54049.603057086,44.01433473704076,3.8501084650001713,0.014525572820593606,0.9948349638594799,-4681.38487477579,-4768.3082906238105
7,2,0,6.633637156777081,54038.31428730588,44.00514192777351,3.8570141266595352,0.014551361862087565,0.9948360426260313,-4683.128368596726,-4775.164926553454
